,Name,Note,Price ($),URL
0,GeForce RTX 4090,38875,1699.99,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+4090&id=4606
1,GeForce RTX 4080,34662,1149.99,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+4080&id=4622
2,GeForce RTX 4070 Ti,31726,779.99,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+4070+Ti&id=4699
3,Radeon RX 7900 XTX,31016,969.99,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+7900+XTX&id=4644
4,GeForce RTX 3090 Ti,29873,1539.99,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3090+Ti&id=4524
5,Radeon PRO W7900,29771,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+PRO+W7900&id=4833
6,Radeon PRO W7800,29140,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+PRO+W7800&id=4836
7,Radeon RX 7900 XT,28883,799.99,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+7900+XT&id=4646
8,GeForce RTX 4090 Laptop GPU,28665,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+4090+Laptop+GPU&id=4737
9,Radeon RX 6950 XT,28491,1299.99,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6950+XT&id=4540
10,GeForce RTX 3080 Ti,27326,849.99,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3080+Ti&id=4409
11,Radeon RX 6900 XT,26959,785.14,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6900+XT&id=4322
12,GeForce RTX 4070,26876,549.99,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+4070&id=4795
13,GeForce RTX 3090,26864,1951.7,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3090&id=4284
14,GeForce RTX 3080 12GB,26724,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3080+12GB&id=4601
15,GeForce RTX 4080 Laptop GPU,26277,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+4080+Laptop+GPU&id=4736
16,GeForce RTX 3080,25354,679.99,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3080&id=4282
17,RTX 4000 Ada Generation,25226,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=RTX+4000+Ada+Generation&id=4942
18,Radeon RX 6800 XT,25114,499.99,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6800+XT&id=4312
19,Radeon RX 7900 GRE,24853,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+7900+GRE&id=4906
20,RTX 4000 Ada Generation Laptop GPU,23871,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=RTX+4000+Ada+Generation+Laptop+GPU&id=4819
21,Radeon RX 7800 XT,23780,529.99,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+7800+XT&id=4917
22,GeForce RTX 3070 Ti,23755,499.99,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3070+Ti&id=4413
23,RTX 5000 Ada Generation Laptop GPU,23353,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=RTX+5000+Ada+Generation+Laptop+GPU&id=4807
24,RTX 6000 Ada Generation,23103,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=RTX+6000+Ada+Generation&id=4768
25,RTX A5000,22980,2229.99,https://www.videocardbenchmark.net/gpu.php?gpu=RTX+A5000&id=4390
26,RTX A6000,22912,4109.99,https://www.videocardbenchmark.net/gpu.php?gpu=RTX+A6000&id=4337
27,GeForce RTX 4060 Ti 16GB,22829,499.0,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+4060+Ti+16GB&id=4898
28,Radeon RX 7900M,22761,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+7900M&id=4946
29,GeForce RTX 4060 Ti,22552,381.26,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+4060+Ti&id=4827
30,GeForce RTX 3070,22462,439.99,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3070&id=4283
31,Radeon RX 6800,22303,389.99,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6800&id=4314
32,RTX 4500 Ada Generation,22293,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=RTX+4500+Ada+Generation&id=4958
33,NVIDIA A10,22064,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=NVIDIA+A10&id=4632
34,GeForce RTX 2080 Ti,21842,1399.99,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2080+Ti&id=3991
35,RTX A4500,21775,1079.99,https://www.videocardbenchmark.net/gpu.php?gpu=RTX+A4500&id=4514
36,Radeon RX 7700 XT,21310,439.99,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+7700+XT&id=4919
37,RTX A5500,21030,2169.99,https://www.videocardbenchmark.net/gpu.php?gpu=RTX+A5500&id=4539
38,RTX 3500 Ada Generation Laptop GPU,20964,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=RTX+3500+Ada+Generation+Laptop+GPU&id=4800
39,Radeon RX 6750 XT,20876,339.99,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6750+XT&id=4543
40,GeForce RTX 3060 Ti,20599,359.99,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3060+Ti&id=4318
41,RTX 4000 SFF Ada Generation,20529,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=RTX+4000+SFF+Ada+Generation&id=4801
42,GeForce RTX 3080 Ti Laptop GPU,20215,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3080+Ti+Laptop+GPU&id=4491
43,Quadro GV100,20021,8999.0,https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+GV100&id=3919
44,Radeon PRO W6800,19978,1849.99,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+PRO+W6800&id=4411
45,TITAN RTX,19948,2409.2,https://www.videocardbenchmark.net/gpu.php?gpu=TITAN+RTX&id=4029
46,Radeon RX 6700 XT,19873,319.99,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6700+XT&id=4369
47,TITAN V,19784,1999.99,https://www.videocardbenchmark.net/gpu.php?gpu=TITAN+V&id=3859
48,GeForce RTX 4070 Laptop GPU,19602,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+4070+Laptop+GPU&id=4756
49,GeForce RTX 2080 SUPER,19602,684.86,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2080+SUPER&id=4123
50,GeForce RTX 4060,19537,299.99,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+4060&id=4850
51,Quadro RTX 8000,19447,4741.49,https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+RTX+8000&id=4061
52,TITAN Xp COLLECTORS EDITION,19356,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=TITAN+Xp+COLLECTORS+EDITION&id=3863
53,RTX A4000,19329,749.99,https://www.videocardbenchmark.net/gpu.php?gpu=RTX+A4000&id=4394
54,Quadro RTX 6000,19234,6300.0,https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+RTX+6000&id=4015
55,GeForce RTX 2080,18799,800.61,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2080&id=3989
56,Radeon RX 6700,18741,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6700&id=4564
57,NVIDIA TITAN Xp,18594,1645.0,https://www.videocardbenchmark.net/gpu.php?gpu=NVIDIA+TITAN+Xp&id=3728
58,RTX 3000 Ada Generation Laptop GPU,18570,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=RTX+3000+Ada+Generation+Laptop+GPU&id=4930
59,GeForce GTX 1080 Ti,18541,483.82,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1080+Ti&id=3699
60,Radeon RX 6850M XT,18418,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6850M+XT&id=4574
61,NVIDIA A10G,18293,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=NVIDIA+A10G&id=4546
62,GeForce RTX 2070 SUPER,18254,497.95,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2070+SUPER&id=4116
63,GeForce RTX 3070 Ti Laptop GPU,18247,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3070+Ti+Laptop+GPU&id=4497
64,GeForce RTX 4060 Laptop GPU,17971,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+4060+Laptop+GPU&id=4752
65,A40-48Q,17864,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=A40-48Q&id=4751
66,Radeon PRO W7600,17632,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+PRO+W7600&id=4889
67,RTX A4500 Laptop GPU,17606,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=RTX+A4500+Laptop+GPU&id=4565
68,Radeon Pro W5700X,17591,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Pro+W5700X&id=4641
69,RTX A5500 Laptop GPU,17581,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=RTX+A5500+Laptop+GPU&id=4562
70,Radeon RX 6650 XT,17440,259.99,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6650+XT&id=4541
71,GeForce RTX 3060,17088,284.99,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3060&id=4345
72,TITAN V CEO Edition,16988,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=TITAN+V+CEO+Edition&id=4005
73,Radeon RX 5700 XT,16765,517.94,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+5700+XT&id=4111
74,Radeon VII,16744,1899.95,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+VII&id=4050
75,Radeon RX 5700 XT 50th Anniversary,16615,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+5700+XT+50th+Anniversary&id=4114
76,GeForce RTX 2060 SUPER,16580,415.98,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2060+SUPER&id=4117
77,GeForce RTX 3080 Laptop GPU,16546,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3080+Laptop+GPU&id=4332
78,Radeon RX 6600 XT,16465,249.92,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6600+XT&id=4444
79,Tesla V100-SXM2-16GB,16235,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=Tesla+V100-SXM2-16GB&id=4105
80,GeForce RTX 2070,16181,519.99,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2070&id=4001
81,Radeon RX 7600,16107,259.99,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+7600&id=4832
82,Radeon PRO W6600,16075,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+PRO+W6600&id=4445
83,Quadro RTX 5000,16039,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+RTX+5000&id=4040
84,Radeon Pro Vega II Duo,15977,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Pro+Vega+II+Duo&id=4758
85,Miracast display port driver V3,15910,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=Miracast+display+port+driver+V3&id=3768
86,GeForce RTX 2060 12GB,15905,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2060+12GB&id=4602
87,RTX A5000 Laptop GPU,15899,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=RTX+A5000+Laptop+GPU&id=4416
88,Radeon PRO W7500,15831,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+PRO+W7500&id=4890
89,Radeon Pro Vega II,15668,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Pro+Vega+II&id=4189
90,Quadro GP100,15608,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+GP100&id=3721
91,RTX 2000 Ada Generation Laptop GPU,15598,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=RTX+2000+Ada+Generation+Laptop+GPU&id=4785
92,Radeon RX 6800S,15536,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6800S&id=4542
93,RTX A4000 Laptop GPU,15531,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=RTX+A4000+Laptop+GPU&id=4421
94,GeForce RTX 3070 Laptop GPU,15529,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3070+Laptop+GPU&id=4331
95,GeForce GTX 1080,15509,442.79,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1080&id=3502
96,Quadro RTX 4000,15478,899.0,https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+RTX+4000&id=4053
97,Radeon Pro VII,15441,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Pro+VII&id=4306
98,Radeon Pro W5700,15438,649.99,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Pro+W5700&id=4182
99,Radeon RX 7700S,15142,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+7700S&id=4887
100,Radeon RX 6600,15130,329.0,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6600&id=4465
101,GeForce RTX 2080 (Mobile),15107,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2080+%28Mobile%29&id=4084
102,Quadro P6000,14927,3250.0,https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+P6000&id=3597
103,Radeon RX 6600S,14897,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6600S&id=4755
104,Radeon RX 6700S,14891,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6700S&id=4510
