,Name,Screen,Res,Price,GPU,CPU,RAM,Memory,OS,Wifi,Seller,PC_url,Img_url
0,Asus ExpertBook B1 B1502CVA-BQ0675X,"Écran 15.6"" LCD - IPS (anti-reflets) 60 Hz","Résolution Full HD 1920 x 1080 pixels
(16/9)",1299.95,Intel Iris Xe Graphics (96 EU) - Raptor Lake,Intel Core i7-1355U(10 coeurs 5.00 GHz),32 Go DDR4 - 3200 MHz,512 Go (SSD M.2 PCI-e 4.0),Windows 11 Pro,Wi-Fi 6 • Bluetooth 5.3,LDLC,https://www.comparez-malin.fr/informatique/pc-portable/asus-expertbook-b1-b1502cva-bq0675x.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/asus/2023/35705/asus-expertbook-b1502-1.jpg
1,Asus VivoBook Go 15 OLED S1504FA-L1282W,"Écran 15.6"" OLED 60 Hz","Résolution Full HD 1920 x 1080 pixels
(16/9)",699.99,AMD Radeon 610M,AMD Ryzen 5 7520U(4 coeurs 4.30 GHz),16 Go LPDDR5 - 5600 MHz,512 Go (SSD M.2 PCI-e 3.0),Windows 11 Famille,Wi-Fi 5 • Bluetooth 5.1,Asus,https://www.comparez-malin.fr/informatique/pc-portable/asus-vivobook-go-15-oled-s1504fa-l1282w.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/asus/2023/35704/asus-vivobook-go-15-e1504-argent-1.jpg
2,Asus VivoBook 15 S1502QA-EJ026W,"Écran 15.6"" LCD - IPS (anti-reflets) 60 Hz","Résolution Full HD 1920 x 1080 pixels
(16/9)",799.99,AMD Radeon RX Vega 8,AMD Ryzen 7 5800H(8 coeurs 4.45 GHz),16 Go DDR4 - 3200 MHz,512 Go (SSD M.2 PCI-e 3.0),Windows 11 Famille,Wi-Fi 5 • Bluetooth 5.1,Asus,https://www.comparez-malin.fr/informatique/pc-portable/asus-vivobook-15-s1502qa-ej026w.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/asus/2023/35703/asus-vivobook-15-x1502-argent-1.jpg
3,Asus VivoBook 15 R1502QA-EJ227W,"Écran 15.6"" LCD - TN (anti-reflets) 60 Hz","Résolution Full HD 1920 x 1080 pixels
(16/9)",449.0,AMD Radeon RX Vega 6,AMD Ryzen 5 4600H(6 coeurs 4.00 GHz),8 Go DDR4 - 3200 MHz,512 Go (SSD M.2 PCI-e 3.0),Windows 11 Famille,Wi-Fi 6 • Bluetooth 5.3,E.Leclerc,https://www.comparez-malin.fr/informatique/pc-portable/asus-vivobook-15-r1502qa-ej227w.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/asus/2023/35702/asus-vivobook-15-x1502-argent-1.jpg
4,Acer Aspire 3 A315-24P-R0C5,"Écran 15.6"" LCD - TN (anti-reflets) 60 Hz","Résolution Full HD 1920 x 1080 pixels
(16/9)",499.0,AMD Radeon 610M,AMD Ryzen 5 7520U(4 coeurs 4.30 GHz),8 Go LPDDR5 - 4800 MHz,1 To (SSD M.2 PCI-e 3.0),Windows 11 Famille,Wi-Fi 6 • Bluetooth 5.2,E.Leclerc,https://www.comparez-malin.fr/informatique/pc-portable/acer-aspire-3-a315-24p-r0c5.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/acer/2023/35701/acer-aspire-3-a315-24p-argent-1.jpg
5,Asus ROG Zephyrus Duo 16 GX650PZ-NM8W,"Écran 16.0"" LCD - IPS (mini-LED) (anti-reflets) 240 Hz","Résolution QHD 2560 x 1600 pixels
(16/10)",4499.99,Nvidia GeForce RTX 4080 (Mobile)(12 Go)Version : 2330 MHz / 165 W,AMD Ryzen 9 7945HX(16 coeurs 5.40 GHz),64 Go DDR5 - 4800 MHz,2 To (SSD M.2 PCI-e 4.0),Windows 11 Famille,Wi-Fi 6E • Bluetooth 5.3,Asus,https://www.comparez-malin.fr/informatique/pc-portable/asus-rog-zephyrus-duo-16-gx650pz-nm8w.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/asus/2023/35700/asus-rog-zephyrus-duo-16-gx650-1.jpg
6,Asus ROG STRIX G18 G814JI-N6076W,"Écran 18.0"" LCD - IPS (anti-reflets) 240 Hz","Résolution QHD 2560 x 1600 pixels
(16/10)",2299.99,Nvidia GeForce RTX 4070 (Mobile)(8 Go)Version : 2225 MHz / 140 W,Intel Core i9-13980HX(24 coeurs 5.60 GHz),32 Go DDR5 - 4800 MHz,1 To (SSD M.2 PCI-e 4.0),Windows 11 Famille,Wi-Fi 6E • Bluetooth 5.3,Asus,https://www.comparez-malin.fr/informatique/pc-portable/asus-rog-strix-g18-g814ji-n6076w.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/asus/2023/35699/asus-rog-strix-g18-1.jpg
7,Lenovo ThinkBook 14 G6 IRL (21KG000PFR),"Écran 14.0"" LCD - IPS (anti-reflets) 60 Hz","Résolution Full HD 1920 x 1200 pixels
(16/10)",1049.95,Intel Iris Xe Graphics (80 EU) - Raptor Lake,Intel Core i5-1335U(10 coeurs 4.60 GHz),16 Go DDR5 - 5200 MHz,512 Go (SSD M.2 PCI-e 4.0),Windows 11 Pro,Wi-Fi 6 • Bluetooth 5.1,LDLC,https://www.comparez-malin.fr/informatique/pc-portable/lenovo-thinkbook-14-g6-irl-21kg000pfr.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/lenovo/2023/35698/lenovo-thinkbook-14-g6-arctic-grey-1.jpg
8,MSI Cyborg 15 A12VE-068FR,"Écran 15.6"" LCD - IPS (anti-reflets) 144 Hz","Résolution Full HD 1920 x 1080 pixels
(16/9)",1099.0,Nvidia GeForce RTX 4050 (Mobile)(6 Go)Version : 1605 MHz / 45 W,Intel Core i5-12450H(8 coeurs 4.40 GHz),16 Go DDR5 - 4800 MHz,512 Go (SSD M.2 PCI-e 4.0),Windows 11 Famille,Wi-Fi 6 • Bluetooth 5.2,E.Leclerc,https://www.comparez-malin.fr/informatique/pc-portable/msi-cyborg-15-a12ve-068fr.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/msi/2023/35696/msi-cyborg-15-a12-1.jpg
9,Asus Chromebook CM14 Flip CM1402CM2A-EK0018,"Écran tactile 14.0"" LCD - IPS 60 Hz","Résolution Full HD 1920 x 1080 pixels
(16/9)",189.0,ARM Mali G52 MC2,MediaTek Kompanio 520(8 coeurs x 2.00 GHz),8 Go LPDDR4X - 3733 MHz,128 Go (eMMC),Chrome OS (Google),Wi-Fi 6 • Bluetooth 5.3,Amazon,https://www.comparez-malin.fr/informatique/pc-portable/asus-chromebook-cm14-flip-cm1402cm2a-ek0018.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/asus/2023/35694/asus-chromebook-cm14-flip-1.jpg
10,Dell Inspiron 16 Plus 7630 (‎7652SLV-PFR),"Écran 16.0"" LCD - WVA (anti-reflets) 120 Hz","Résolution QHD 2560 x 1600 pixels
(16/10)",1199.0,Nvidia GeForce RTX 4060 (Mobile)(8 Go),Intel Core i7-13620H(10 coeurs 4.90 GHz),16 Go DDR5 - 4800 MHz,1 To (SSD M.2 PCI-e 4.0),Windows 11 Famille,Wi-Fi 6 • Bluetooth 5.2,Amazon,https://www.comparez-malin.fr/informatique/pc-portable/dell-inspiron-16-plus-7630-7652slv-pfr.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/dell/2023/35692/dell-inspiron-16-plus-7630-1.jpg
11,HP Chromebook 14a-na0005sf,"Écran 14.0"" LCD - TN (anti-reflets) 60 Hz","Résolution HD 1366 x 768 pixels
(16/9)",229.0,Intel UHD Graphics 600,Intel Celeron N4120(4 coeurs 2.60 GHz),8 Go LPDDR4 - 2400 MHz,128 Go (eMMC),Chrome OS (Google),Wi-Fi 5 • Bluetooth 5.0,Amazon,https://www.comparez-malin.fr/informatique/pc-portable/hp-chromebook-14a-na0005sf.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/hp/2023/35691/hp-chromebook-14a-1.jpg
12,Lenovo IdeaPad Slim 5 14ABR8 (82XE006UFR),"Écran 14.0"" OLED 60 Hz","Résolution Full HD 1920 x 1200 pixels
(16/10)",799.99,AMD Radeon Vega 8,AMD Ryzen 7 7730U(8 coeurs 4.50 GHz),16 Go DDR4 - 3200 MHz,1 To (SSD M.2 PCI-e 4.0),Windows 11 Famille,Wi-Fi 6E • Bluetooth 5.1,Amazon,https://www.comparez-malin.fr/informatique/pc-portable/lenovo-ideapad-slim-5-14abr8-82xe006ufr.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/lenovo/2023/35690/lenovo-ideapad-slim-5-14-gen-8-cloud-grey-1.jpg
13,Acer Nitro V 15 ANV15-51-53UN,"Écran 15.6"" LCD - IPS (anti-reflets) 144 Hz","Résolution Full HD 1920 x 1080 pixels
(16/9)",799.99,Nvidia GeForce RTX 4050 (Mobile)(6 Go)Version : 1695 MHz / 60 W,Intel Core i5-13420H(8 coeurs 4.60 GHz),16 Go DDR5 - 4800 MHz,512 Go (SSD M.2 PCI-e 4.0),Windows 11 Famille,Wi-Fi 6 • Bluetooth 5.1,Amazon,https://www.comparez-malin.fr/informatique/pc-portable/acer-nitro-v-15-anv15-51-53un.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/acer/2023/35689/acer-nitro-v-15-anv15-51-white-1.jpg
14,Acer Nitro 5 AN515-58-78ZS,"Écran 15.6"" LCD - IPS (anti-reflets) 144 Hz","Résolution Full HD 1920 x 1080 pixels
(16/9)",1099.99,Nvidia GeForce RTX 4060 (Mobile)(8 Go),Intel Core i7-12650H(10 coeurs 4.70 GHz),16 Go DDR5 - 4800 MHz,1 To (SSD M.2 PCI-e 4.0),Windows 11 Famille,Wi-Fi 6 • Bluetooth 5.2,Amazon,https://www.comparez-malin.fr/informatique/pc-portable/acer-nitro-5-an515-58-78zs.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/acer/2023/35688/acer-nitro-5-an515-2022-rgb-1.jpg
15,HP Pavilion 15-eg2001sf,"Écran tactile 15.6"" LCD - IPS 60 Hz","Résolution Full HD 1920 x 1080 pixels
(16/9)",849.0,Intel Iris Xe Graphics (96 EU),Intel Core i7-1255U(10 coeurs x 4.70 GHz),16 Go DDR4 - 3200 MHz,512 Go (SSD M.2 PCI-e 3.0),Windows 11 Famille,Wi-Fi 6 • Bluetooth 5.3,Amazon,https://www.comparez-malin.fr/informatique/pc-portable/hp-pavilion-15-eg2001sf.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/hp/2023/35686/hp-pavilion-15-eh-argent-w11-2022-1.jpg
16,"Samsung Galaxy Book3 15"" (‎NP750XFG-KA2FR)","Écran 15.6"" LCD - PLS (anti-reflets) 60 Hz","Résolution Full HD 1920 x 1080 pixels
(16/9)",699.0,Intel Iris Xe Graphics (80 EU) - Raptor Lake,Intel Core i5-1335U(10 coeurs 4.60 GHz),8 Go LPDDR5 - 5200 MHz,512 Go (SSD M.2 PCI-e 4.0),Windows 11 Famille,Wi-Fi 6E • Bluetooth 5.2,Amazon,https://www.comparez-malin.fr/informatique/pc-portable/samsung-galaxy-book3-15-np750xfg-ka2fr.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/samsung/2023/35685/samsung-galaxy-book3-15-gris-1.jpg
17,Asus E410MA-BV2348WS,"Écran 14.0"" LCD - TN (anti-reflets) 60 Hz","Résolution HD 1366 x 768 pixels
(16/9)",229.99,Intel UHD Graphics 600,Intel Celeron N4020(2 coeurs 2.80 GHz),4 Go DDR4 - 2400 MHz,128 Go (eMMC),Windows 11 Famille (mode S),Wi-Fi 5 • Bluetooth 4.1,Amazon,https://www.comparez-malin.fr/informatique/pc-portable/asus-e410ma-bv2348ws.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/asus/2023/35684/asus-e410ma-blue-1.jpg
18,Lenovo IdeaPad 3 17ITL6 (82H900U8FR),"Écran 17.3"" LCD - TN (anti-reflets) 60 Hz","Résolution HD+ 1600 x 900 pixels
(16/9)",399.99,Intel UHD Graphics (48 EU) - Tiger Lake,Intel Core i3-1115G4(2 coeurs 4.10 GHz),8 Go DDR4 - 3200 MHz,512 Go (SSD M.2 PCI-e 4.0),Windows 11 Famille,Wi-Fi 6 • Bluetooth 5.1,Amazon,https://www.comparez-malin.fr/informatique/pc-portable/lenovo-ideapad-3-17itl6-82h900u8fr.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/lenovo/2023/35683/lenovo-ideapad-3-17-gris-arctique-1.jpg
